1atm,,10atm,,20atm,,60atm,,100atm,
X,Y,X,Y,X,Y,X,Y,X,Y
1.7699115044247833,0.26217228464419406,6.194690265486727,0.7490636704119851,13.716814159292042,1.2734082397003768,5.309734513274336,3.1835205992509366,1.7699115044247833,5.018726591760299
34.51327433628319,0.29962546816479474,23.451327433628308,0.7490636704119851,35.39823008849558,1.1985018726591754,20.796460176991147,3.1835205992509366,10.619469026548671,5.018726591760299
59.73451327433628,0.29962546816479474,41.59292035398231,0.7490636704119851,57.079646017699105,1.1985018726591754,36.725663716814154,3.1835205992509366,19.46902654867256,5.018726591760299
83.18584070796462,0.26217228464419406,53.09734513274336,0.7490636704119851,78.76106194690266,1.1985018726591754,52.65486725663716,3.1835205992509366,26.991150442477874,5.018726591760299
103.09734513274336,0.3370786516853954,71.23893805309734,0.7490636704119851,100,1.235955056179776,68.14159292035399,3.1835205992509366,35.39823008849558,5.018726591760299
125.6637168141593,0.3370786516853954,88.93805309734512,0.7865168539325857,121.68141592920355,1.3108614232209739,84.51327433628319,3.1835205992509366,103.53982300884957,5.018726591760299
171.23893805309734,0.37453183520599254,106.63716814159292,0.8239700374531829,143.36283185840708,1.4606741573033695,100,3.1835205992509366,115.48672566371681,5.018726591760299
189.38053097345127,0.3370786516853954,124.3362831858407,0.8988764044943842,164.1592920353982,1.7977528089887649,115.48672566371681,3.1835205992509366,132.3008849557522,5.018726591760299
205.30973451327432,0.3370786516853954,135.84070796460176,0.973782771535582,182.7433628318584,2.7340823970037462,131.4159292035398,3.1835205992509366,149.1150442477876,5.018726591760299
218.58407079646017,0.29962546816479474,148.23008849557522,1.086142322097377,192.47787610619466,4.344569288389515,146.90265486725664,3.1835205992509366,154.86725663716814,5.018726591760299
235.39823008849558,0.29962546816479474,159.73451327433628,1.2734082397003768,198.2300884955752,5.805243445692884,154.86725663716814,3.2584269662921344,161.06194690265488,5.056179775280899
256.63716814159295,0.29962546816479474,170.79646017699113,1.5730337078651715,199.5575221238938,5.50561797752809,162.83185840707964,3.3333333333333357,165.4867256637168,5.093632958801496
273.4513274336283,0.29962546816479474,180.97345132743362,1.9850187265917612,207.0796460176991,3.857677902621724,170.79646017699113,3.5205992509363284,170.35398230088495,5.131086142322097
288.9380530973451,0.29962546816479474,190.2654867256637,2.6217228464419478,225.6637168141593,2.958801498127343,177.87610619469027,3.857677902621724,173.4513274336283,5.205992509363295
