Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
0.8961634643299732,5.00369849173703,1.9401212196189448,3.1774576245240915,0.8353491680390164,1.1723978254071383,0.20061693394065117,0.7213041142463119,1.1651576608637981,0.26873191757366044
3.669749172671871,5.0114021794039125,3.397633728946417,3.1727887229077965,3.6089348763809284,1.1801015130740211,5.3021701000099455,0.7213041142463119,3.8373553297418397,0.2659305766038855
6.341991307279599,5.0114021794039125,7.527566235800336,3.179325185170608,6.281177010988657,1.1801015130740211,11.253976692390495,0.7209617281277829,6.509597464349568,0.2659305766038855
9.014233441887328,5.0114021794039125,10.199763904678377,3.1765238442008297,8.953419145596385,1.1801015130740211,17.084306863797366,0.7199345697721995,9.181839598957296,0.2659305766038855
11.686475576495056,5.0114021794039125,15.301331892657572,3.1774576245240915,11.625661280204113,1.1801015130740211,23.036158745347038,0.7224454013080717,11.854081733565025,0.2659305766038855
14.358717711102784,5.0114021794039125,17.9735740272653,3.1774576245240915,13.204550409645307,1.1698299295181762,28.987930917959062,0.7199345697721995,14.526323868172739,0.2659305766038855
17.030959845710512,5.0114021794039125,23.075112371424694,3.1765238442008297,21.099929837174543,1.1773001721042426,34.81827739346683,0.7199345697721995,17.198566002780467,0.2659305766038855
19.703201980318227,5.0114021794039125,25.74739897176211,3.179325185170608,23.772216437511958,1.1801015130740211,40.77011115934886,0.7213041142463119,19.870808137388195,0.2659305766038855
22.375444114925955,5.0114021794039125,31.091883240977566,3.179325185170608,26.444458572119686,1.1801015130740211,46.72191775172939,0.7209617281277829,22.543050271995924,0.2659305766038855
25.047686249533683,5.0114021794039125,33.76408090985561,3.1765238442008297,29.116700706727414,1.1801015130740211,52.55234574774157,0.7260975199057036,25.215292406603652,0.2659305766038855
27.71992838414141,5.0114021794039125,38.8656340759249,3.1765238442008297,31.788942841335142,1.1801015130740211,58.382773743753745,0.7312333116836278,27.88753454121138,0.2659305766038855
30.39217051874914,5.0114021794039125,41.5379058543524,3.17839140484735,34.09674756097141,1.177533617185059,64.33471801520841,0.7395647072344786,30.559776675819094,0.2659305766038855
33.06441265335687,5.0114021794039125,46.63944419851181,3.1774576245240915,42.96377358605835,1.1801015130740211,70.28662605532779,0.74561352866181,33.23201881042682,0.2659305766038855
35.73665478796458,5.0114021794039125,49.311701155029425,3.17839140484735,45.63601572066608,1.1801015130740211,76.1171029636426,0.7538307955064845,35.90426094503455,0.2659305766038855
38.40889692257231,5.0114021794039125,50.76903580143819,3.1625171393519516,48.30825785527381,1.1801015130740211,81.94757987195746,0.762048062351159,38.57650307964228,0.2659305766038855
41.08113905718004,5.0114021794039125,54.656170602334996,3.1774576245240915,50.98049998988154,1.1801015130740211,88.02103679572107,0.7733468042625908,41.24874521425001,0.2659305766038855
43.75338119178777,5.0114021794039125,57.32839791503281,3.1765238442008297,53.65274212448925,1.1801015130740211,93.85161152864117,0.7877270212407694,43.920987348857736,0.2659305766038855
46.425623326395495,5.0114021794039125,62.429951081102104,3.1765238442008297,55.839098761231966,1.1786341439946142,99.68221886976306,0.804161554930122,46.59322948346545,0.2659305766038855
49.097865461003224,5.0114021794039125,65.1022376814395,3.179325185170608,64.58465658797621,1.1810352933972759,105.63432799379333,0.822878662742994,49.26547161807318,0.2659305766038855
51.77010759561094,5.0114021794039125,70.44672195065496,3.179325185170608,67.25688390067404,1.1801015130740211,111.5864624797583,0.8431935724423312,51.93771375268091,0.2659305766038855
54.442349730218666,5.0114021794039125,73.11893444144292,3.1774576245240915,69.92912603528177,1.1801015130740211,117.41715134138457,0.8647638979096008,54.609955887288635,0.2659305766038855
